Age of vehicle,engine capacity (cc),Fuel consumption (metric combined),Noise level (dB(A)),fuel type,gearbox,CO2 emission (g/km)
0.831999824,-0.109170717,0.582135595,-0.092043183,0.800217618,-1.797635305,232
1.265112061,-0.109170717,0.582135595,-0.092043183,0.800217618,-1.797635305,232
1.048555943,-0.109170717,0.582135595,-0.092043183,0.800217618,-1.797635305,232
1.048555943,0.448155236,0.582135595,0.043067121,0.800217618,-1.797635305,233
0.615443705,1.264539734,0.582135595,0.095032623,0.800217618,-1.797635305,233
0.182331467,1.264539734,0.582135595,0.095032623,0.800217618,-1.797635305,233
0.182331467,1.562807141,0.582135595,0.146998124,0.800217618,-0.035199223,231
1.265112061,-0.104969767,0.582135595,-0.138812135,0.800217618,0.371516796,233
1.048555943,-0.104969767,0.582135595,-0.138812135,0.800217618,0.371516796,233
1.265112061,-0.40883844,0.582135595,0.095032623,0.800217618,0.778232815,233
1.048555943,0.592387832,0.582135595,-0.008898381,-1.1847247,1.32052084,262
-0.683893009,1.291145747,0.582135595,0.095032623,0.800217618,1.32052084,225
-0.034224652,0.5811853,0.551992949,0.00149472,0.800217618,-1.662063299,231
-0.250780771,0.5811853,0.551992949,0.00149472,0.800217618,-1.662063299,231
0.182331467,-0.106370084,0.551992949,0.095032623,0.800217618,-1.662063299,230
1.265112061,-0.40883844,0.551992949,-0.060863882,0.800217618,-1.25534728,233
0.398887586,0.5811853,0.551992949,-0.102436283,0.800217618,-1.797635305,231
-0.46733689,0.5811853,0.551992949,-0.024488031,0.800217618,0.778232815,230
0.615443705,0.5811853,0.551992949,-0.055667332,0.800217618,0.23594479,230
1.265112061,0.592387832,0.551992949,-0.060863882,-1.1847247,1.184948834,259
1.265112061,-0.137177046,0.521850302,0.095032623,0.800217618,-1.662063299,228
0.831999824,-0.106370084,0.521850302,-0.060863882,0.800217618,-1.662063299,228
0.398887586,-0.106370084,0.521850302,-0.060863882,0.800217618,-1.662063299,228
0.453026616,0.404745426,0.521850302,0.069049872,0.800217618,-1.25534728,227
1.265112061,0.3515334,0.521850302,-0.060863882,0.800217618,0.371516796,228
0.453026616,1.272941633,0.521850302,0.100229173,-1.1847247,0.371516796,253
1.265112061,-0.40883844,0.521850302,0.095032623,0.800217618,1.727236859,228
0.615443705,-0.40883844,0.521850302,0.095032623,0.800217618,1.727236859,228
0.398887586,-0.40883844,0.521850302,-0.060863882,0.800217618,1.727236859,228
0.453026616,-0.104969767,0.491707656,-0.060863882,0.800217618,-1.662063299,224
-0.250780771,-0.104969767,0.491707656,-0.060863882,0.800217618,-1.662063299,224
1.265112061,-0.40883844,0.491707656,-0.112829384,0.800217618,-1.25534728,226
-0.250780771,1.272941633,0.491707656,0.198963626,-1.1847247,-1.25534728,248
0.831999824,0.448155236,0.491707656,-0.008898381,0.800217618,-1.797635305,226
-0.034224652,0.5811853,0.491707656,0.01188782,0.800217618,0.371516796,226
