Age of vehicle,engine capacity (cc),Fuel consumption (metric combined),fuel type,gearbox,Noise level (dB(A)),Nox emissions (g/km),HC emissions (g/km),CO2 emission (g/km),CO emissions (g/km)
-0.74268651,-0.672908024,-0.574310566,0.782047997,0.360397637,0.04104745,0.01,0.03,152,0.21
-0.74268651,-0.672908024,-0.574310566,0.782047997,0.360397637,0.04104745,0.01,0.03,153,0.21
-0.74268651,-0.400316589,-0.574310566,0.782047997,0.768589942,-0.009915057,0.02,0.03,154,0.21
-0.74268651,-0.672908024,-0.574310566,0.782047997,0.768589942,-0.162802576,0.011,0.026,153,0.372
-2.697687854,-0.116598973,-0.574310566,0.782047997,-1.136307483,-0.162802576,0.023,0.042,152,0.309
-2.697687854,-0.131897472,-0.574310566,0.782047997,-1.136307483,-0.172995078,0.024,0.042,152,0.309
-2.697687854,-0.394753499,-0.574310566,0.782047997,1.040718146,0.092009956,0.014,0.047,150,0.278
0.151028391,-0.96218873,-0.574310566,0.782047997,0.360397637,-0.009915057,0.019,0.032,156,0.176
0.597885841,-0.671517251,-0.574310566,0.782047997,0.360397637,-0.060877563,0.04,0.041,156,0.44
-0.519257785,-0.120771291,-0.529694782,-1.277345062,0.768589942,-0.060877563,0.131,0.033,174,0.359
0.597885841,0.142084735,-0.529694782,-1.277345062,0.224333535,-0.060877563,0.387,0.111,181,0.206
0.374457116,0.142084735,-0.529694782,-1.277345062,0.224333535,-0.060877563,0.387,0.111,181,0.206
0.151028391,0.142084735,-0.529694782,-1.277345062,0.224333535,-0.060877563,0.387,0.111,181,0.206
-2.753545036,-0.672908024,-0.529694782,0.782047997,-0.319922872,-0.11184007,0.022,0.029,152,0.876
-1.18954396,-0.672908024,-0.529694782,0.782047997,0.360397637,-0.142417574,0.019,0.035,151,0.3
-1.412972685,-0.672908024,-0.529694782,0.782047997,0.360397637,-0.142417574,0.019,0.035,151,0.3
-0.966115235,-0.672908024,-0.529694782,0.782047997,0.360397637,-0.142417574,0.032,0.035,151,0.3
-0.295829059,-0.672908024,-0.529694782,0.782047997,0.360397637,-0.009915057,0.016,0.037,156,0.318
-0.072400334,-0.96775182,-0.529694782,0.782047997,0.360397637,0.092009956,0.035,0.037,158,0.595
-0.072400334,-0.672908024,-0.529694782,0.782047997,0.360397637,-0.009915057,0.016,0.038,158,0.358
-0.295829059,-0.672908024,-0.529694782,0.782047997,0.360397637,-0.009915057,0.016,0.038,158,0.358
-0.519257785,-0.672908024,-0.529694782,0.782047997,0.360397637,-0.009915057,0.016,0.038,158,0.358
-0.74268651,-0.672908024,-0.529694782,0.782047997,0.360397637,-0.009915057,0.016,0.038,158,0.358
-1.412972685,-0.672908024,-0.529694782,0.782047997,0.360397637,-0.009915057,0.019,0.04,149,0.223
-1.412972685,-0.672908024,-0.529694782,0.782047997,0.360397637,-0.009915057,0.019,0.04,149,0.233
0.821314566,-0.811985286,-0.529694782,0.782047997,0.360397637,-0.11184007,0.028,0.052,160,0.684
-0.295829059,-1.170804624,-0.529694782,0.782047997,-1.68056389,-0.060877563,0.028,0.084,161,0.705
-0.519257785,-1.170804624,-0.529694782,0.782047997,-1.68056389,-0.060877563,0.028,0.084,159,0.705
-0.74268651,-1.170804624,-0.529694782,0.782047997,-1.68056389,-0.060877563,0.028,0.084,161,0.705
-0.74268651,-1.170804624,-0.529694782,0.782047997,-1.68056389,-0.060877563,0.028,0.084,159,0.705
1.268172016,-0.811985286,-0.529694782,0.782047997,0.360397637,-0.11184007,0.084,0.087,158,0.504
-0.295829059,-0.672908024,-0.529694782,0.782047997,0.768589942,0.04104745,0.046,0.025,158,0.066
-0.74268651,-0.400316589,-0.529694782,0.782047997,0.768589942,-0.009915057,0.02,0.03,155,0.21
-0.74268651,-0.418396633,-0.529694782,0.782047997,0.768589942,0.092009956,0.034,0.043,153,0.303
0.374457116,-0.672908024,-0.529694782,0.782047997,0.768589942,0.04104745,0.051,0.065,158,0.26
-0.74268651,-0.672908024,-0.529694782,0.782047997,0.768589942,-0.162802576,0.011,0.026,154,0.371
-2.697687854,-0.394753499,-0.529694782,0.782047997,1.040718146,0.092009956,0.014,0.047,153,0.278
0.821314566,-0.811985286,-0.485078997,0.782047997,0.360397637,-0.11184007,0.028,0.052,160,0.684
1.044743291,-0.811985286,-0.485078997,0.782047997,0.360397637,-0.11184007,0.028,0.052,160,0.684
0.597885841,-0.811985286,-0.485078997,0.782047997,0.360397637,-0.11184007,0.028,0.052,160,0.684
0.374457116,-0.811985286,-0.485078997,0.782047997,0.360397637,-0.11184007,0.028,0.052,160,0.684
0.151028391,-0.811985286,-0.485078997,0.782047997,0.360397637,-0.11184007,0.028,0.052,160,0.684
-0.072400334,-0.811985286,-0.485078997,0.782047997,0.360397637,-0.11184007,0.028,0.052,160,0.684
-0.295829059,-0.672908024,-0.485078997,0.782047997,0.360397637,-0.11184007,0.026,0.062,162,0.236
-0.74268651,-0.677080342,-0.485078997,0.782047997,-0.047794669,-0.009915057,0.019,0.024,159,0.24
-0.74268651,-0.672908024,-0.485078997,0.782047997,0.768589942,0.04104745,0.01,0.03,158,0.23
-0.74268651,-0.400316589,-0.485078997,0.782047997,-0.319922872,0.04104745,0.01,0.04,157,0.24
0.430314297,-0.951062549,-0.485078997,0.782047997,0.360397637,-0.11184007,0.02,0.07,159,0.47
-0.072400334,-0.949671776,-0.485078997,0.782047997,-1.68056389,-0.11184007,0.13,0.031,159,0.221
-0.519257785,-0.120771291,-0.440463213,-1.277345062,0.768589942,0.000277445,0.174,0.021,179,0.213
1.268172016,-0.149977516,-0.440463213,-1.277345062,0.224333535,-0.060877563,0.388,0.029,179,0.35
-0.74268651,-0.672908024,-0.440463213,0.782047997,-1.68056389,-0.009915057,0.014,0.044,159,0.192
-1.412972685,-0.672908024,-0.440463213,0.782047997,-1.68056389,-0.009915057,0.009,0.054,159,0.344
-1.18954396,-0.672908024,-0.440463213,0.782047997,0.496461739,-0.11184007,0.026,0.062,159,0.236
-0.295829059,-0.96775182,-0.440463213,0.782047997,-1.68056389,-0.009915057,0.026,0.075,163,0.301
-0.519257785,-1.170804624,-0.440463213,0.782047997,-1.68056389,-0.009915057,0.026,0.075,161,0.301
-0.74268651,-0.96775182,-0.440463213,0.782047997,-1.68056389,-0.009915057,0.026,0.075,163,0.301
0.374457116,-0.813376059,-0.440463213,0.782047997,0.360397637,0.025758698,0.013,0.063,162,0.621
0.430314297,-0.951062549,-0.440463213,0.782047997,0.360397637,-0.11184007,0.02,0.07,159,0.47
0.151028391,-0.672908024,-0.440463213,0.782047997,0.768589942,0.04104745,0.044,0.023,163,0.068
0.821314566,-1.505980826,-0.440463213,0.782047997,-1.68056389,-0.162802576,0.048,0.054,161,0.432
1.268172016,-0.816157604,-0.440463213,0.782047997,0.360397637,0.04104745,0.036,0.058,164,0.444
0.597885841,-0.816157604,-0.440463213,0.782047997,0.360397637,0.04104745,0.036,0.06,164,0.44
1.268172016,-0.96218873,-0.440463213,0.782047997,0.360397637,-0.009915057,0.04,0.074,163,0.121
-1.18954396,-0.645092571,-0.395847428,0.782047997,0.768589942,-0.009915057,0.005,0.03,159,0.215
-0.74268651,-0.116598973,-0.395847428,0.782047997,0.768589942,-0.060877563,0.01,0.03,163,0.34
-0.74268651,-0.400316589,-0.395847428,0.782047997,-0.319922872,0.04104745,0.01,0.04,158,0.24
-0.295829059,-0.951062549,-0.395847428,0.782047997,0.360397637,-0.162802576,0.011,0.041,163,0.476
-0.295829059,-0.672908024,-0.395847428,0.782047997,1.040718146,-0.11184007,0.028,0.045,161,0.584
0.374457116,-1.088749039,-0.395847428,0.782047997,-1.68056389,-0.167898827,0.03,0.06,165,0.23
1.268172016,-0.816157604,-0.395847428,0.782047997,0.360397637,-0.060877563,0.02,0.018,166,0.2
0.597885841,-0.816157604,-0.395847428,0.782047997,0.360397637,-0.060877563,0.02,0.018,166,0.2
